GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project0,com.revature.dao,TransactionOracle,126,0,8,0,33,0,8,0,4,0
project0,com.revature.dao,AccountOracle,442,0,22,0,125,0,19,0,8,0
project0,com.revature.dao,UserOracle,477,0,24,0,131,0,20,0,8,0
project0,com.revature.dao,ChampionOracle,85,0,6,0,24,0,9,0,6,0
project0,com.revature.models,Account,211,0,38,0,55,0,32,0,13,0
project0,com.revature.models,Champion,392,0,70,0,96,0,56,0,21,0
project0,com.revature.models,Transaction,246,0,28,0,67,0,33,0,19,0
project0,com.revature.models,User,241,0,42,0,64,0,37,0,16,0
project0,com.revature.services,UserService,37,0,2,0,11,0,9,0,8,0
project0,com.revature.services,AccountService,38,0,2,0,11,0,9,0,8,0
project0,com.revature.services,ChampionService,17,0,2,0,7,0,5,0,4,0
project0,com.revature.services,TransactionService,18,0,2,0,7,0,5,0,4,0
project0,com.revature.modules,SuperUser,765,0,50,0,186,0,38,0,13,0
project0,com.revature.modules,RegularUser,1126,0,64,0,258,0,51,0,19,0
project0,com.revature.modules,Welcome,109,0,6,0,18,0,6,0,3,0
project0,com.revature.modules,Register,185,0,4,0,54,0,9,0,7,0
project0,com.revature.modules,Login,243,0,8,0,69,0,11,0,7,0
project0,com.revature.utils,JDBCBank,254,0,14,0,79,0,17,0,10,0
project0,com.revature.utils,ReadInput,261,274,8,36,63,55,14,22,8,6
project0,com.revature.utils,SessionManager,109,0,8,0,35,0,10,0,6,0
project0,com.revature.utils,ConnectionUtil,90,0,2,0,26,0,4,0,3,0
project0,com.revature.exceptions,AccountNotEmptyException,4,0,0,0,2,0,1,0,1,0
project0,com.revature.exceptions,InvalidOptionException,0,4,0,0,0,2,0,1,0,1
project0,com.revature.exceptions,OverdraftException,4,0,0,0,2,0,1,0,1,0
project0,com.revature.exceptions,UserIDDoesNotExistException,4,0,0,0,2,0,1,0,1,0
project0,com.revature.exceptions,UsernameAlreadyExists,4,0,0,0,2,0,1,0,1,0
project0,com.revature.exceptions,IncorrectPasswordException,4,0,0,0,2,0,1,0,1,0
